% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
5.73621	1	1	1	1.13208e-10	238663	0
5.73721	1	1	1	1.13219e-10	238687	0
5.73821	1	1	1	1.13231e-10	238712	0
5.73921	1	1	1	1.13243e-10	238737	0
5.74021	1	1	1	1.13255e-10	238762	0
5.74121	1	1	1	1.13266e-10	238787	0
5.74221	1	1	1	1.13278e-10	238811	0
5.74321	1	1	1	1.1329e-10	238836	0
5.74421	1	1	1	1.13302e-10	238861	0
5.74521	1	1	1	1.13314e-10	238886	0
5.74621	1	1	1	1.13325e-10	238911	0
5.74721	1	1	1	1.13337e-10	238935	0
5.74821	1	1	1	1.13349e-10	238960	0
5.74921	1	1	1	1.13361e-10	238985	0
5.75021	1	1	1	1.13372e-10	239010	0
5.75121	1	1	1	1.13384e-10	239035	0
5.75221	1	1	1	1.13396e-10	239060	0
5.75321	1	1	1	1.13408e-10	239084	0
5.75421	1	1	1	1.1342e-10	239109	0
5.75521	1	1	1	1.13431e-10	239134	0
5.75621	1	1	1	1.13443e-10	239159	0
5.75721	1	1	1	1.13455e-10	239184	0
5.75821	1	1	1	1.13467e-10	239209	0
5.75921	1	1	1	1.13478e-10	239234	0
5.76021	1	1	1	1.1349e-10	239258	0
5.76121	1	1	1	1.13502e-10	239283	0
5.76221	1	1	1	1.13514e-10	239308	0
5.76321	1	1	1	1.13526e-10	239333	0
5.76421	1	1	1	1.13537e-10	239358	0
5.76521	1	1	1	1.13549e-10	239383	0
5.76621	1	1	1	1.13561e-10	239408	0
5.76721	1	1	1	1.13573e-10	239433	0
5.76821	1	1	1	1.13585e-10	239458	0
5.76921	1	1	1	1.13597e-10	239482	0
5.77021	1	1	1	1.13608e-10	239507	0
5.77121	1	1	1	1.1362e-10	239532	0
5.77221	1	1	1	1.13632e-10	239557	0
5.77321	1	1	1	1.13644e-10	239582	0
5.77421	1	1	1	1.13656e-10	239607	0
5.77521	1	1	1	1.13667e-10	239632	0
5.77621	1	1	1	1.13679e-10	239657	0
5.77721	1	1	1	1.13691e-10	239682	0
5.77821	1	1	1	1.13703e-10	239707	0
5.77921	1	1	1	1.13715e-10	239732	0
5.78021	1	1	1	1.13727e-10	239757	0
5.78121	1	1	1	1.13738e-10	239782	0
5.78221	1	1	1	1.1375e-10	239807	0
5.78321	1	1	1	1.13762e-10	239832	0
5.78421	1	1	1	1.13774e-10	239856	0
5.78521	1	1	1	1.13786e-10	239881	0
5.78621	1	1	1	1.13798e-10	239906	0
5.78721	1	1	1	1.13809e-10	239931	0
5.78821	1	1	1	1.13821e-10	239956	0
5.78921	1	1	1	1.13833e-10	239981	0
5.79021	1	1	1	1.13845e-10	240006	0
5.79121	1	1	1	1.13857e-10	240031	0
5.79221	1	1	1	1.13869e-10	240056	0
5.79321	1	1	1	1.13881e-10	240081	0
5.79421	1	1	1	1.13892e-10	240106	0
5.79521	1	1	1	1.13904e-10	240131	0
5.79621	1	1	1	1.13916e-10	240156	0
5.79721	1	1	1	1.13928e-10	240181	0
5.79821	1	1	1	1.1394e-10	240206	0
5.79921	1	1	1	1.13952e-10	240231	0
5.80021	1	1	1	1.13964e-10	240256	0
5.80121	1	1	1	1.13975e-10	240281	0
5.80221	1	1	1	1.13987e-10	240306	0
5.80321	1	1	1	1.13999e-10	240332	0
5.80421	1	1	1	1.14011e-10	240357	0
5.80521	1	1	1	1.14023e-10	240382	0
5.80621	1	1	1	1.14035e-10	240407	0
5.80721	1	1	1	1.14047e-10	240432	0
5.80821	1	1	1	1.14059e-10	240457	0
5.80921	1	1	1	1.14071e-10	240482	0
5.81021	1	1	1	1.14082e-10	240507	0
5.81121	1	1	1	1.14094e-10	240532	0
5.81221	1	1	1	1.14106e-10	240557	0
